RUN	uk.gov.hmcts.reform.LandA.performance.simulations.mainSimulation	mainsimulation	1645190194505	 	3.3.1
USER	LAU Simulation	1	START	1645190196517	1645190196517
REQUEST	1	LAU_040_CaseAuditSearch	LAU Case Audit Search Redirect 1	1645190335569	1645190335669	OK	 
GROUP	1	LAU_040_CaseAuditSearch	1645190334938	1645190335970	1025	OK
REQUEST	1	LAU_050_CaseAuditPage2	LAU Case Audit Page 2	1645190340971	1645190341177	OK	 
REQUEST	1	LAU_050_CaseAuditPage2	LAU Case Audit Page 2 Redirect 1	1645190341178	1645190341271	OK	 
GROUP	1	LAU_050_CaseAuditPage2	1645190340970	1645190341571	553	OK
REQUEST	1	LAU_060_CaseActivityDownload	Case Activity CSV Download	1645190346568	1645190347246	OK	 
GROUP	1	LAU_060_CaseActivityDownload	1645190346568	1645190347247	678	OK
REQUEST	1	LAU_070_CaseSearchDownload	Case Search CSV Download	1645190352240	1645190352876	OK	 
GROUP	1	LAU_070_CaseSearchDownload	1645190352240	1645190352877	636	OK
REQUEST	1	LAU_080_LogonAuditSearch	LAU Logon Audit Search	1645190357882	1645190358608	OK	 
REQUEST	1	LAU_080_LogonAuditSearch	LAU Logon Audit Search Redirect 1	1645190358609	1645190358692	OK	 
GROUP	1	LAU_080_LogonAuditSearch	1645190357881	1645190358938	1046	OK
REQUEST	1	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2	1645190363938	1645190364651	OK	 
REQUEST	1	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2 Redirect 1	1645190364652	1645190364772	OK	 
GROUP	1	LAU_090_LogonAuditPage2	1645190363938	1645190365050	1107	OK
REQUEST	1	LAU_100_LogonActivityDownload	Logon Activity CSV Download	1645190370058	1645190370797	OK	 
GROUP	1	LAU_100_LogonActivityDownload	1645190370058	1645190370797	739	OK
REQUEST	1	LAU_040_CaseAuditSearch	LAU Case Audit Search	1645190375791	1645190376630	OK	 
REQUEST	1	LAU_040_CaseAuditSearch	LAU Case Audit Search Redirect 1	1645190376631	1645190376706	OK	 
GROUP	1	LAU_040_CaseAuditSearch	1645190375790	1645190376939	1141	OK
REQUEST	1	LAU_050_CaseAuditPage2	LAU Case Audit Page 2	1645190381938	1645190382082	OK	 
REQUEST	1	LAU_050_CaseAuditPage2	LAU Case Audit Page 2 Redirect 1	1645190382083	1645190382162	OK	 
GROUP	1	LAU_050_CaseAuditPage2	1645190381938	1645190382439	492	OK
REQUEST	1	LAU_060_CaseActivityDownload	Case Activity CSV Download	1645190387448	1645190387678	OK	 
GROUP	1	LAU_060_CaseActivityDownload	1645190387448	1645190387680	230	OK
